Date,Time-series Factor Momentum
1/1/18,0.001288745
2/1/18,0.000693753
3/1/18,0.005735963
4/1/18,-0.011642417
5/1/18,0.013642447
6/1/18,0.00935774
7/1/18,-0.002569321
8/1/18,-0.003071451
9/1/18,-0.003379912
10/1/18,0.013777938
11/1/18,0.008643519
12/1/18,0.003174157
1/1/19,-0.0273
2/1/19,0.000466667
3/1/19,-0.008075
4/1/19,0.02435
5/1/19,0.0215
6/1/19,0.0005
7/1/19,0.0162
8/1/19,0.035033333
9/1/19,0.004866667
10/1/19,-0.00125
11/1/19,-0.0284
12/1/19,-0.009
1/1/20,-0.002933333
2/1/20,-0.020333333
3/1/20,0.0078
4/1/20,-0.0942
5/1/20,-0.00935
6/1/20,0.0013
